n	   ale		cresc	  desc
10	   12		10	  9
100	   159		100	  99
1000	   2408		1000	  999
10000	   31390	10000	  9999
100000	   390996	100000	  99999
500000	   2187822	500000	  500000
1000000	   4396665	1000000	  999999
