n	bubble-class	bubble-adv	quick-inicial	quick-central	insertion   shell    selection  merge	   heap
10	0		0		10		6		0	    0	     0	    	34         34
100	0		0		100		63		0	    0	     0	    	672	   648
1000	0		0		1000		511		0	    0	     0	    	9976	   9706
10000 	0		0		10000		5904		0	    0	     0	    	133616	   131430
100000	0		0		100000		65535		0	    0	     0	    	1668928	   1650886
500000	0		0		500000		262143		0	    0	     0	    	9475712	   9355690
1000000	0		0		1000000		524287		0	    0	     0	    	19951424   19794250

