n	   ale		cresc	  desc
10	   9		0	  11
100	   314		0	  192
1000	   7190		0	  3938
10000	   212680	0	  211596
100000	   11872124	0	  19758228
500000	   261646917	0	  499071604
1000000	   1018849567	0	  1962492188
