n	   ale		cresc	  desc
10	   34		34	  34
100	   672		672	  672
1000	   9976		9976	  9976
10000	   133616	133616	  133616
100000	   1668928	1668928	  1668928
500000	   9475712	9475712	  9475712
1000000	   19951424	19951424  19951424
