n	   ale		cresc	  desc
10	   29		34	  23
100	   581		648	  516
1000	   9096		9706	  8380
10000	   124299	131430	  116722
100000	   1575088	1650886	  1497466
500000	   9024398	9355690	  8668486
1000000	   19048402	19794250  18333446
