n	bubble-class	bubble-adv	quick-inicial	quick-central	insertion	shell	selection	merge	heap
10	0.000729345	0.000364672	0.000729345	0.000729345	0.000364672	0.000364672	0.000729345	0.003646723	0.000729345
100	0.027350422	0.036102558	0.014586892	0.00437606	0.013128203	0.000364672	0.012398858	0.016774926	0.006928774
1000	2.47904228	3.16243816	1.22931031	0.028809112	1.181173574	0.040113924	1.048068185	0.166290568	0.086792007
10000	249.613812	243.53071343	118.00139159	0.34935606	115.40237210	0.964922197	96.00873463	1.860922738	1.185184969
100000	25154.97916	23950.10954756	11270.58101049	4.274324007	11766.56925054	59.832105	11075.361354	18.09540411	12.60015725
500000	597291.3591	612276.4072	180329.1851	23.95822310	279936.68564177	2012.665789	240086.6238	89.10943443	69.98785642
1000000	2347234.462	2402872.134	1125942.857	46.17079500	1180015.54233334	8268.439094	1004123.067	167.46663613	135.26570753
