n	bubble-class	bubble-adv	quick-inicial	quick-central	insertion	shell	selection	merge	heap
10	0.00036467	0.00036467	0.000364672	0.000364672	0.000364672	0.000364672	0.000364672	0.004376068	0.00072934
100	0.011304841	0.00036467	0.00765811	0.004011395	0.000364672	0.002188032	0.010940169	0.025527061	0.00765812
1000	1.070313195	0.002188033	0.791703559	0.026621078	0.002917378	0.050689412	0.995920046	0.246518474	0.089709385
10000	99.28349187	0.0207863	59.33766530	0.36503697	0.03136182	0.27459804	93.85388600	1.85909938	1.128296091
100000	9664.62109818	0.20749854	11124.66504849	4.128090415	0.30668940	2.812715384	9437.80988029	17.67201957	12.58702904
500000	245270.4554	1.01707029	140101.389	24.2226104	1.527611142	14.83704630	226727.23151933	90.19761577	69.44923583
1000000	967866.5598	2.146461147	1193754.904	44.25480675	3.352067765	30.04715209	949199.76092084	168.83598061	134.47947406
